City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Vaini,40,TO,1579642402,78,-21.2,-175.2,80.6,6.93
1,Mataura,100,NZ,1579642403,95,-46.19,168.86,61.0,3.0
2,Avarua,100,CK,1579642404,94,-21.21,-159.78,77.0,5.82
3,Alofi,40,NU,1579642405,74,-19.06,-169.92,80.6,8.05
4,Avera,1,US,1579642407,35,33.19,-82.53,42.8,11.41
5,Pangai,20,TO,1579642408,69,-19.8,-174.35,82.4,4.7
6,Tevaitoa,28,PF,1579642409,79,-16.78,-151.5,81.7,12.86
7,Haapiti,75,PF,1579642410,66,-17.57,-149.87,87.8,14.99
8,Neiafu,20,TO,1579642411,65,-18.65,-173.98,80.6,4.7
9,Moerai,100,PF,1579642412,83,-22.43,-151.33,79.81,17.16
